App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Best DP And Video Status 2018 For Whatsapp,FAMILY,4.2,91,3.8,"10,000+",Free,0,Everyone,Entertainment,31-May-18,9,4.1 and up
GPS Speedometer and Odometer,MAPS_AND_NAVIGATION,4.8,15865,3.3,"1,000,000+",Free,0,Everyone,Maps & Navigation,3-Aug-18,10,4.1 and up
EB Experience,LIFESTYLE,NaN,0,1.8,1+,Free,0,Everyone,Lifestyle,19-Oct-17,1,4.0.3 and up
imo beta free calls and text,COMMUNICATION,4.3,659395,11,"100,000,000+",Free,0,Everyone,Communication,7-Jun-18,9.8.000000010492,4.0 and up
Open Camera,PHOTOGRAPHY,4.3,116769,2,"10,000,000+",Free,0,Everyone,Photography,23-Apr-18,1.43.3,4.0.3 and up
Blur,PHOTOGRAPHY,4,9013,2.4,"1,000,000+",Free,0,Everyone,Photography,18-Jun-18,4.0.2,4.4 and up
Tie - Always be happy,BEAUTY,4.7,964,9,"50,000+",Free,0,Everyone,Beauty,21-Jun-18,4,4.2 and up
Make a burger king,FAMILY,3.8,125,17,"10,000+",Free,0,Everyone,Casual,21-Feb-17,v1.3,4.0 and up
Little Pets Animal Guardians,FAMILY,4.6,18893,91,"100,000+",Free,0,Everyone,Casual;Pretend Play,9-Jun-18,1.4.1,4.0.3 and up
New 2018 Keyboard,PERSONALIZATION,4.6,298321,14,"10,000,000+",Free,0,Everyone,Personalization,5-Aug-18,2.5.5.9,4.2 and up
A-Z App Store,PRODUCTIVITY,3.2,2728,4.4,"500,000+",Free,0,Everyone,Productivity,5-Oct-16,1.0.5,4.1 and up
trip.bg,TRAVEL_AND_LOCAL,4.5,103,9.8,"1,000+",Free,0,Everyone,Travel & Local,30-Jul-18,8.2.0,4.0.3 and up
DIRECTV Remote App,FAMILY,3,480,19,"1,000,000+",Free,0,Everyone,Entertainment,31-Aug-17,2.4,6.0 and up
PUBG MOBILE,GAME,4.4,3714270,36,"50,000,000+",Free,0,Teen,Action,24-Jul-18,0.7.0,4.3 and up
One Today by Google,LIFESTYLE,4.5,2586,9.4,"100,000+",Free,0,Everyone,Lifestyle,17-Dec-15,1.9.0.110162364,4.0.3 and up
Pistolet FN GP35 expliqué,BOOKS_AND_REFERENCE,NaN,2,7.9,5+,Paid,$5.99,Everyone,Books & Reference,19-Aug-14,Android 2.0 - 2014,1.6 and up
Eye Transplant : ER Emergency Hospital,FAMILY,3.9,1938,62,"1,000,000+",Free,0,Teen,Educational,25-May-18,1.6,4.1 and up
Body scanner (prank),FAMILY,3.3,16063,3.8,"1,000,000+",Free,0,Teen,Casual,2-Jun-16,3,2.3 and up
VZ Navigator for Galaxy S4,TRAVEL_AND_LOCAL,3,2750,39,"5,000,000+",Free,0,Everyone,Travel & Local,22-Jan-18,10.7.8.111,4.2 and up
Theme for Iphone X Plus,PERSONALIZATION,4,126,8,"10,000+",Free,0,Everyone,Personalization,19-Oct-17,1,2.3.3 and up
Super Car F. Mod for MCPE,GAME,3.6,214,4.9,"50,000+",Free,0,Everyone,Adventure,19-Jul-18,3.0.1,4.2 and up
LactMed,MEDICAL,4.3,573,2,"100,000+",Free,0,Everyone,Medical,1-Jun-17,3.1,3.0 and up
BM Physiotherapy Clinic,HEALTH_AND_FITNESS,5,3,9.3,100+,Free,0,Everyone,Health & Fitness,9-Oct-17,0.0.1,4.1 and up
Remote EX for NISSAN,COMMUNICATION,2.3,223,1,"5,000+",Paid,$1.49,Everyone,Communication,26-Jul-14,1.3,3.0 and up
GollerCepte Live Score,SPORTS,4.2,9992,31,"1,000,000+",Free,0,Everyone,Sports,23-May-18,6.5,4.1 and up
AC-BL,COMMUNICATION,NaN,0,4.3,50+,Free,0,Everyone,Communication,20-Apr-18,1.7,2.1 and up
EU Brazil Green Business Forum,PRODUCTIVITY,NaN,0,8.7,10+,Free,0,Everyone,Productivity,18-Apr-17,1.7.1,2.1 and up
AP Calculus BC: Practice Tests and Flashcards,FAMILY,3.6,5,5.4,"1,000+",Free,0,Everyone,Education,3-Jul-18,1.6.7.1,4.1 and up
ET Telecom from Economic Times,NEWS_AND_MAGAZINES,4.7,273,6.3,"10,000+",Free,0,Everyone,News & Magazines,7-Aug-18,2.9.0,4.1 and up
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11,"10,000+",Free,0,Everyone,Art & Design,29-Nov-17,1.3,4.0.3 and up
Calorie Counter - Macros,HEALTH_AND_FITNESS,4,3061,5.5,"100,000+",Free,0,Everyone,Health & Fitness,27-Aug-16,2.3.4,5.0 and up
HipChat - Chat Built for Teams,BUSINESS,3.8,5868,20,"500,000+",Free,0,Everyone,Business,3-Jul-18,3.19.005,4.1 and up
Tribeca Shortlist - Handpicked Movies,ENTERTAINMENT,3.9,801,57,"100,000+",Free,0,Teen,Entertainment,21-Mar-18,4.003.1,4.3 and up
F N Bail Bonds,LIFESTYLE,3.8,4,14,500+,Free,0,Everyone,Lifestyle,6-Jan-17,1.4,4.0.3 and up
Bubble Shooter,FAMILY,4.4,59843,20,"5,000,000+",Free,0,Everyone,Puzzle;Brain Games,9-Jan-18,2.3.3122,2.3 and up
CamScanner (License),PRODUCTIVITY,4.4,26358,0.05,"500,000+",Paid,$1.99,Everyone,Productivity,17-Jan-14,1.7,2.0 and up
Smartshading AI,MEDICAL,NaN,0,10,10+,Free,0,Everyone,Medical,21-Jun-18,1,4.1 and up
"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4.2,4559,6.4,"100,000+",Free,0,Everyone,Medical,27-Jul-18,117,3.0 and up
BL 1-Click Camera - Free,PHOTOGRAPHY,3.5,52,1.8,"10,000+",Free,0,Everyone,Photography,18-Aug-16,2.0.160818,2.3 and up
Zombie Hunter King,GAME,4.3,10306,50,"1,000,000+",Free,0,Mature 17+,Action,1-Aug-18,1.0.8,2.3 and up
Resume Builder - Curriculum Vitae & Resume Maker,BUSINESS,4,12,8.1,"5,000+",Free,0,Everyone,Business,7-Jun-18,1.9,4.0.3 and up
Tutorials for R Programming Offline,FAMILY,NaN,2,4.4,500+,Free,0,Everyone,Education,4-Dec-17,1,4.0 and up
Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12,"100,000+",Paid,$9.00,Everyone,Medical,16-Jul-18,2.0.7,4.0 and up
US Open Tennis Championships 2018,SPORTS,4,9971,33,"1,000,000+",Free,0,Everyone,Sports,5-Jun-18,7.1,5.0 and up
8 Ball Pool,GAME,4.5,14198297,52,"100,000,000+",Free,0,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Catalyst AZ,FAMILY,4.8,12,8.4,500+,Free,0,Teen,Education,27-Jun-18,3.8.0,4.1 and up
Telstra,LIFESTYLE,3,4260,6.3,"5,000,000+",Free,0,Everyone,Lifestyle,8-Aug-17,6.1,2.3.3 and up
Idle Heroes,GAME,4.7,416540,99,"10,000,000+",Free,0,Everyone 10+,Role Playing,30-May-18,1.14.0,2.3 and up
How do I take care of my child?,PARENTING,4.8,190,6.8,"100,000+",Free,0,Everyone,Parenting,24-Jun-18,1.5,4.0 and up
Rider,GAME,4.5,655145,72,"10,000,000+",Free,0,Teen,Arcade,17-Jul-17,1.2.1,4.0.3 and up
Radio K - KUOM,FAMILY,4.5,39,7.4,"1,000+",Free,0,Everyone,Entertainment,9-Mar-18,3.0.57,4.1 and up
Droid PRoCon BF3,TOOLS,3.5,412,2.6,"5,000+",Paid,$0.99,Everyone,Tools,12-Mar-15,2.2,3.0 and up
BS Meter (Ad Supported),FAMILY,3.9,14,0.592,"1,000+",Free,0,Teen,Entertainment,14-Aug-13,2,2.2 and up
Facebook Face to Face Events,BUSINESS,4.4,4518,26,"1,000,000+",Free,0,Everyone,Business,1-Mar-18,1.5,4.1 and up
Candy Crush Saga,FAMILY,4.4,22419455,74,"500,000,000+",Free,0,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
4K Ultra Camera,PHOTOGRAPHY,4.2,382,2.9,"100,000+",Free,0,Everyone,Photography,30-Jul-18,39.272.12,2.2 and up
All Maths Formulas,BOOKS_AND_REFERENCE,4.4,2709,6.8,"1,000,000+",Free,0,Everyone,Books & Reference,11-Jul-18,1.9,4.4 and up
My Virtual Boyfriend,FAMILY,4.3,105,51,"1,000+",Paid,$0.99,Teen,Casual,17-Feb-17,3.6,2.3.3 and up
Employ Florida Mobile,BUSINESS,2.9,97,9.9,"10,000+",Free,0,Everyone,Business,13-Jun-18,4.5.9,4.0.3 and up
The Wall Street Journal: Business & Market News,NEWS_AND_MAGAZINES,4.1,40975,36,"1,000,000+",Free,0,Everyone 10+,News & Magazines,2-Aug-18,4.4.2.19,4.1 and up
Aproveita DF,LIFESTYLE,NaN,0,3.3,1+,Free,0,Everyone,Lifestyle,2-Aug-18,1,4.0 and up
Flag of European Union,PERSONALIZATION,4.2,36,5.3,"1,000+",Free,0,Everyone,Personalization,10-Dec-16,2,2.3.3 and up
Penny Finder,SHOPPING,4.2,470,4.1,"10,000+",Paid,$2.99,Everyone,Shopping,17-Jul-18,1.3.7,4.1 and up
diep.io,GAME,4.1,347883,20,"10,000,000+",Free,0,Everyone,Action,16-Mar-18,1.2.7,4.0.3 and up
Sounds for Toddlers FREE,FAMILY,4.4,6190,23,"1,000,000+",Free,0,Everyone,Educational;Education,24-Aug-15,1.7.1,4.0 and up
Preferences Manager and SQLite DB Viewer,TOOLS,3.5,13,3,"1,000+",Free,0,Everyone,Tools,18-Jul-17,1.01,4.0 and up
Florida State Gameday,SPORTS,4.7,1566,26,"50,000+",Free,0,Everyone,Sports,13-Jul-18,9.19.2,4.1 and up
EMT-B Pocket Prep,MEDICAL,4.5,2951,16,"50,000+",Free,0,Everyone,Medical,11-Jul-18,4.5.2,4.4 and up
EF Smart English,FAMILY,3.7,150,11,"5,000+",Free,0,Everyone,Education,11-Jun-18,1.6.0,4.4 and up
[Substratum] M5 Theme,PERSONALIZATION,4.4,16,6.7,"5,000+",Free,0,Everyone,Personalization,10-Mar-18,1.3.4,7.0 and up
Guide for R Programming,BOOKS_AND_REFERENCE,NaN,0,3.7,5+,Free,0,Everyone,Books & Reference,25-May-18,1.0.0,4.1 and up
Expert C Programming - Learn C Coding Easily,FAMILY,4.4,77,6.9,"5,000+",Free,0,Everyone,Education,5-Jan-18,1.1.9,5.0 and up
X Back - Icon Pack,PERSONALIZATION,4.5,56,26,"10,000+",Paid,$0.99,Everyone,Personalization,29-Jun-18,1.6.2,4.1 and up
CP Channel,FAMILY,4.6,7,12,500+,Free,0,Everyone 10+,Education,21-Mar-18,1.1.0,4.1 and up
BN Inscript Improved Input keyboard,PRODUCTIVITY,NaN,0,6.2,10+,Free,0,Everyone,Productivity,7-Dec-17,1,2.3 and up
Zombie War Z : Hero Survival Rules,GAME,3.9,1987,62,"100,000+",Free,0,Mature 17+,Action,13-Dec-17,1.8,4.0.3 and up
"SweetRing - Meet, Match, Date",DATING,4,51698,63,"1,000,000+",Free,0,Mature 17+,Dating,26-Jul-18,3.0.0,4.0.3 and up
EMT PASS,MEDICAL,3.4,51,2.4,"1,000+",Paid,$29.99,Everyone,Medical,22-Oct-14,2.0.2,4.0 and up
MDLIVE: Talk to a Doctor 24/7,MEDICAL,3.4,650,27,"100,000+",Free,0,Everyone,Medical,23-Jul-18,4.23.0,4.4 and up
mySugr: the blood sugar tracker made just for you,MEDICAL,4.6,21189,36,"1,000,000+",Free,0,Everyone,Medical,6-Aug-18,3.52.1,5.0 and up
Soy Luna - Top Music And Lyrics,DATING,NaN,1,5,100+,Free,0,Teen,Dating,24-Jul-18,1,4.0.3 and up
Zap-Map: EV charging points UK,MAPS_AND_NAVIGATION,3.8,181,9.8,"10,000+",Free,0,Everyone,Maps & Navigation,6-Jul-18,4.0.4,4.1 and up
Hello Face,MEDICAL,NaN,0,1.5,10+,Free,0,Everyone,Medical,31-Jul-18,1,4.4 and up
CG Samanya Gyan,FAMILY,4.2,145,4.1,"10,000+",Free,0,Teen,Education,12-Sep-17,7.2,2.3 and up
中国語 AQリスニング,FAMILY,NaN,21,17,"5,000+",Free,0,Everyone,Education,22-Jun-16,2.4.0,4.0 and up
Top Soccer Manager,SPORTS,4.4,199739,66,"10,000,000+",Free,0,Everyone,Sports,6-Aug-18,1.18.8,4.0.3 and up
IMDb Movies & TV,ENTERTAINMENT,4.2,501498,12,"100,000,000+",Free,0,Teen,Entertainment,26-Jul-18,Varies with device,Varies with device
DT Technologies,SHOPPING,NaN,0,1.3,10+,Free,0,Everyone,Shopping,7-Jun-18,1.1,4.4 and up
Slot Machines by IGG,GAME,4.6,267229,24,"10,000,000+",Free,0,Teen,Casino,28-May-18,1.7.4,2.3 and up
Dude Perfect 2,GAME,4.5,401648,70,"10,000,000+",Free,0,Everyone,Action,12-Apr-17,1.6.1,4.0.3 and up
Funny videos for whatsapp,VIDEO_PLAYERS,4.4,3066,9,"1,000,000+",Free,0,Everyone,Video Players & Editors,17-Dec-17,1.7,4.0.3 and up
Flow Free,GAME,4.3,1295557,11,"100,000,000+",Free,0,Everyone,Puzzle,11-Apr-18,4,4.1 and up
Wordscapes,GAME,4.8,230849,87,"10,000,000+",Free,0,Everyone,Word,2-Aug-18,1.0.47,4.1 and up
TFO BZ Lessons,FAMILY,4.4,75,3.7,500+,Free,0,Everyone,Education,28-Apr-17,2.1.1,4.1 and up
Graffiti Letters (A-Z),LIFESTYLE,3.9,386,7.9,"50,000+",Free,0,Everyone,Lifestyle,18-Feb-17,2.1.5,4.0 and up
DreamTrips,TRAVEL_AND_LOCAL,4.7,9971,22,"500,000+",Free,0,Teen,Travel & Local,6-Aug-18,1.28.1,5.0 and up
CJ Fallon eBook Reader,FAMILY,1.9,76,14,"5,000+",Free,0,Everyone,Education,13-Feb-14,2.2.1,3.0 and up
Keep My Notes - Notepad & Memo,PRODUCTIVITY,4.6,122424,4.7,"5,000,000+",Free,0,Everyone,Productivity,16-Mar-18,1.35.2,2.3.3 and up
Recycling Cy,LIFESTYLE,4,47,4.5,"1,000+",Free,0,Everyone,Lifestyle,2-Aug-17,2,3.2 and up
ES Themes -- Classic Theme,PERSONALIZATION,4.4,77609,1.9,"1,000,000+",Free,0,Everyone,Personalization,24-Apr-15,1.14,1.6 and up
Don't Hug Me I'm So Scared,GAME,3.5,901,63,"50,000+",Free,0,Everyone,Adventure,8-Jun-18,1.8.5,2.3 and up
Jungle book-The Great Escape,GAME,3.9,2362,25,"100,000+",Free,0,Everyone,Action,17-Jul-13,1.3,2.3 and up
Hero Fighter X,GAME,4.5,24210,45,"500,000+",Free,0,Teen,Action,13-Nov-15,1.091,2.2 and up
KudaGo - things to do in NY,EVENTS,4.4,4298,4.4,"100,000+",Free,0,Everyone,Events,27-Apr-17,2.2.2,4.0 and up
Yahoo Mail – Stay Organized,COMMUNICATION,4.3,4188345,16,"100,000,000+",Free,0,Everyone,Communication,18-Jul-18,5.29.3,4.4 and up
Modern Combat 5: eSports FPS,GAME,4.3,2903386,58,"100,000,000+",Free,0,Mature 17+,Action,24-Jul-18,3.2.1c,4.0 and up
Dp for girls,ART_AND_DESIGN,4.2,175,8.2,"50,000+",Free,0,Everyone,Art & Design,26-May-17,1.2,4.0.3 and up
Q-See QT View,TOOLS,3.6,7357,19,"100,000+",Free,0,Everyone,Tools,12-Jul-18,4.4.1,5.0 and up
db.Mobil App,LIBRARIES_AND_DEMO,4.5,23,31,"5,000+",Free,0,Everyone,Libraries & Demo,11-Jul-18,3.4.5,3.0 and up
MSN Sports - Scores & Schedule,SPORTS,4.5,35394,21,"500,000+",Free,0,Everyone,Sports,5-Jul-18,1.2.0,4.2 and up
Champions and Challengers - Adventure Time,FAMILY,4.6,51973,27,"1,000,000+",Free,0,Everyone,Role Playing,2-Aug-18,1.2.5,4.4 and up
Dots & Co: A Puzzle Adventure,FAMILY,4.5,81001,85,"1,000,000+",Free,0,Everyone,Puzzle,27-Apr-18,2.15.2,4.1 and up
HD Themes Toyota Cruiser 50,PERSONALIZATION,NaN,1,11,50+,Free,0,Teen,Personalization,2-Oct-16,1,2.3.3 and up
Hitman Sniper,GAME,4.6,408292,29,"10,000,000+",Paid,$0.99,Mature 17+,Action,12-Jul-18,1.7.110758,4.1 and up
Spider grinder in screen funny,FAMILY,4.1,956,10,"100,000+",Free,0,Teen,Entertainment,17-May-16,1.1,2.2 and up
Bank Of Cyprus,FINANCE,4.1,1514,12,"100,000+",Free,0,Everyone,Finance,14-Feb-18,1.1,4.1 and up
BL Portfolio,PHOTOGRAPHY,NaN,4,16,100+,Free,0,Everyone,Photography,13-Jun-17,1.2,4.1 and up
Free Wi-fi HotspoT,COMMUNICATION,4.1,382,2.3,"50,000+",Free,0,Everyone,Communication,20-Jul-18,2.5,4.0 and up
Talking Babsy Baby: Baby Games,LIFESTYLE,4,140995,100,"10,000,000+",Free,0,Everyone,Lifestyle;Pretend Play,16-Jul-18,9,4.0 and up
Be My Princess,FAMILY,4.2,3103,8.8,"100,000+",Free,0,Teen,Entertainment,19-Sep-17,6.5,2.2 and up
Email TypeApp - Mail App,COMMUNICATION,4.6,183374,44,"1,000,000+",Free,0,Everyone,Communication,1-Aug-18,1.9.4.74,4.1 and up
"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7,500+,Paid,$4.99,Everyone,Communication,18-May-18,8.05.18.14250,4.0.3 and up
CB Martial Arts,HEALTH_AND_FITNESS,NaN,0,8.7,10+,Free,0,Everyone,Health & Fitness,15-May-18,1.1.7,4.1 and up
Out There Chronicles - Ep. 1,FAMILY,4.4,1516,44,"50,000+",Paid,$2.99,Everyone,Role Playing,27-Nov-17,1.0.4,4.2 and up
UK Girls Mobile Numbers,DATING,3,1,5.5,500+,Free,0,Mature 17+,Dating,19-Jul-18,1,4.0.3 and up
"S Photo Editor - Collage Maker , Photo Collage",PHOTOGRAPHY,4.4,972574,45,"100,000,000+",Free,0,Everyone,Photography,3-Aug-18,2.31,4.1 and up
HD Jigsaw Volvo FH Trucks,FAMILY,NaN,2,7.6,500+,Free,0,Teen,Puzzle,29-Nov-16,1,4.0 and up
CheckPoints 🏆 Rewards App,SHOPPING,4.1,23187,25,"1,000,000+",Free,0,Everyone,Shopping,21-Jun-18,4.89,4.3 and up
Loreal - BA Makeup,TOOLS,1.9,8,6.7,"1,000+",Free,0,Everyone,Tools,18-Apr-18,1.1.1,4.0.3 and up
CA Service Management,BUSINESS,3.4,91,8.3,"10,000+",Free,0,Everyone,Business,20-Mar-18,3.1.13,5.0 and up
BW-Go Free,GAME,4.6,547,1.3,"10,000+",Free,0,Everyone,Board,18-Jun-15,4.8.1,2.3 and up
Om Waleed Sweets,FOOD_AND_DRINK,4.6,556,23,"100,000+",Free,0,Teen,Food & Drink,25-Jan-18,2,4.0 and up
AW Tozer Devotionals - Daily,BOOKS_AND_REFERENCE,4.2,8,3.9,"5,000+",Free,0,Everyone,Books & Reference,7-Oct-16,1,2.3 and up
Blamburger - Clarence,FAMILY,4.1,30444,27,"1,000,000+",Free,0,Everyone 10+,Arcade;Action & Adventure,26-Oct-15,1.0.5,4.3 and up
OptumRx,MEDICAL,3.4,1838,21,"100,000+",Free,0,Everyone,Medical,2-Jul-18,2.11.0,4.0.3 and up
Best Friends Dress Up & Makeup,FAMILY,3.7,7664,44,"500,000+",Free,0,Everyone,Casual;Pretend Play,9-Sep-15,1.0.3,4.0.3 and up
CU SoCal Mobile Banking,FINANCE,4,253,25,"10,000+",Free,0,Everyone,Finance,2-May-18,4.6.68,4.0.3 and up
Pizza Hut,FOOD_AND_DRINK,4.4,321134,30,"10,000,000+",Free,0,Everyone,Food & Drink,12-Jun-18,4.7.0,4.1 and up
Clean My Android,PRODUCTIVITY,4.7,101163,6.2,"5,000,000+",Free,0,Everyone,Productivity,31-Jul-18,1.4.5.2,4.1 and up
CD Carpe Diem App,FAMILY,NaN,17,27,100+,Free,0,Everyone,Education,18-Jul-18,2,4.1 and up
iTooch Mathématiques CP,FAMILY,4.3,1018,35,"100,000+",Free,0,Everyone,Education;Education,28-Jun-17,4.6.2,4.0.3 and up
Once Upon a Tower,GAME,4.7,37139,49,"1,000,000+",Free,0,Everyone 10+,Action,24-Jan-18,8,4.1 and up
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5,"100,000+",Free,0,Everyone,Business,2-Aug-18,5.20.7,4.1 and up
Rewards,FINANCE,3.8,57,4,"5,000+",Free,0,Everyone,Finance,15-Dec-17,4.1,2.3 and up
Ramdor DM Mobile,BUSINESS,NaN,1,23,100+,Free,0,Everyone,Business,13-Jun-18,21 - Rel2.0,3.0 and up
Gate Of Death Ep: 1,GAME,4.4,7,34,100+,Free,0,Everyone,Adventure,7-Oct-16,1.1,2.3 and up
Angry Birds Star Wars,GAME,4.3,1218055,45,"100,000,000+",Free,0,Everyone,Arcade,25-May-18,1.5.12,4.1 and up
"Messages, Text and Video Chat for Messenger",SOCIAL,4.4,49580,4,"10,000,000+",Free,0,Everyone,Social,4-Jun-18,1.24,4.1 and up
BT One Phone Mobile App,COMMUNICATION,3.5,33,2.7,"10,000+",Free,0,Everyone,Communication,18-Sep-17,2.2.6,4.1 and up
Just She - Top Lesbian Dating,DATING,1.9,954,19,"100,000+",Free,0,Mature 17+,Dating,18-Jul-18,6.3.7,5.0 and up
BZ Zombie VR,GAME,4.4,12,98,"1,000+",Free,0,Mature 17+,Action,7-Feb-18,1.4,4.4 and up
Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5,11,100+,Paid,$2.99,Everyone,Productivity,26-Sep-16,2,3.2 and up
WPSApp,TOOLS,4.4,95080,3.1,"10,000,000+",Free,0,Everyone,Tools,3-Aug-18,1.6.22,4.1 and up
EY ATL Fuel Calculator,PRODUCTIVITY,4.4,15,3.1,500+,Free,0,Everyone,Productivity,21-Jul-18,12,2.1 and up
Z Day: Hearts of Heroes,FAMILY,3.9,5894,67,"1,000,000+",Free,0,Everyone 10+,Strategy,11-Jul-18,1.0.2,4.0.3 and up
New Holland Agriculture T5 EC,PRODUCTIVITY,4.6,12,15,"1,000+",Free,0,Everyone,Productivity,24-Feb-17,1.2,4.0.3 and up
Cv maker / Job cv maker,FAMILY,4.4,14,5.5,"1,000+",Free,0,Everyone,Education,27-Mar-18,1,4.0 and up
How it Works: FN SCAR assault rifle,FAMILY,4.6,44,45,"10,000+",Free,0,Everyone,Casual,9-Jan-18,2.1.9f7,4.0.3 and up
CF Talenti,HEALTH_AND_FITNESS,NaN,4,7.8,100+,Free,0,Everyone,Health & Fitness,9-Jul-18,4.2.2,4.1 and up
Capital One® Mobile,FINANCE,4.6,510401,79,"10,000,000+",Free,0,Everyone,Finance,1-Aug-18,5.38.1,5.0 and up
CT Checkout,FINANCE,5,1,8.4,50+,Free,0,Everyone,Finance,20-Apr-17,1.2,4.2 and up
Ditto CP Calculator GO,TOOLS,4.3,34,12,"1,000+",Free,0,Everyone,Tools,25-Feb-18,1.9,4.0.3 and up
EF App,BUSINESS,5,8,20,100+,Free,0,Everyone,Business,23-Jan-17,1.0.5,4.4 and up
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19,"500,000+",Free,0,Mature 17+,Dating,31-Jul-18,4.8.5,4.0.3 and up
CB Land,BUSINESS,NaN,0,6.4,100+,Free,0,Everyone,Business,13-Mar-18,6.3.5,4.1 and up
[EF]ShoutBox,COMMUNICATION,NaN,3,2.5,100+,Free,0,Teen,Communication,7-Aug-18,Build 54,4.0.3 and up
Traffic Sniper Counter Attack,GAME,4.3,5339,38,"1,000,000+",Free,0,Teen,Action,5-Dec-17,1,2.3 and up
Sai Baba - Sabka Malik Ek,PRODUCTIVITY,4.9,42,38,"1,000+",Free,0,Everyone,Productivity,26-May-18,1.4,4.0 and up
Step By Step Eyes Makeup Tutorial,BEAUTY,4.4,74,2.9,"10,000+",Free,0,Everyone,Beauty,5-Apr-18,2.3.09,4.0.3 and up
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17,"500,000+",Free,0,Everyone,Beauty,2-Aug-18,6.10.1,5.0 and up
EB Remote Deposit,BUSINESS,NaN,0,9,10+,Free,0,Everyone,Business,10-May-18,5.1,4.1 and up
CG - Calendars Add-On,PRODUCTIVITY,3.6,49,2.3,"5,000+",Free,0,Everyone 10+,Productivity,29-Jul-15,1.0.1,4.0 and up
Turo - Better Than Car Rental,TRAVEL_AND_LOCAL,4.4,14114,46,"1,000,000+",Free,0,Everyone,Travel & Local,4-Aug-18,18.21.0,5.0 and up
CP Federal Mobile,FINANCE,3.6,180,35,"10,000+",Free,0,Everyone,Finance,6-Oct-17,7.0.7-qa003-prod,4.2 and up
Lost Journey (Dreamsky),GAME,4.5,32344,29,"1,000,000+",Paid,$0.99,Everyone,Adventure,21-Oct-16,1.3.12,3.0 and up
Garden Fruit Legend,FAMILY,4.6,4289,33,"500,000+",Free,0,Everyone,Casual;Brain Games,31-Jul-18,3.5.3183,4.0.3 and up
BJ's Bingo & Gaming Casino,GAME,4.5,501,65,"10,000+",Free,0,Teen,Casino,26-Jul-18,5.0.1.3,4.3 and up
Q Wunder,FAMILY,3.8,156,43,"10,000+",Free,0,Everyone,Education;Education,30-Jun-18,2.0.13,4.1 and up
Faceoff DP Battle App,FAMILY,4.8,38,6.7,"1,000+",Free,0,Everyone,Entertainment,15-Jun-18,5.2,4.4 and up
chat dz,COMMUNICATION,5,8,29,100+,Free,0,Teen,Communication,14-Mar-18,1,4.1 and up
Monster Ride Pro,GAME,5,1,24,10+,Free,0,Everyone,Racing,5-Mar-18,2,2.3 and up
Florida Statutes (FL Code),BOOKS_AND_REFERENCE,3.2,5,8.2,"1,000+",Free,0,Everyone,Books & Reference,21-Oct-17,1.5,4.4 and up
B. R. Ambedkar Jayanti SMS,PERSONALIZATION,NaN,0,3,500+,Free,0,Everyone,Personalization,19-Mar-18,1.2,4.0.3 and up
"Egg, Inc.",FAMILY,4.7,580160,29,"5,000,000+",Free,0,Everyone,Simulation,13-Jun-18,1.7.5,4.0.3 and up
AX Video Player,VIDEO_PLAYERS,4.4,569,2.6,"50,000+",Free,0,Everyone,Video Players & Editors,11-Nov-15,1.0.9,3.0 and up
Android P Wallpapers,PERSONALIZATION,3.6,53,2,"5,000+",Free,0,Everyone,Personalization,12-Feb-18,1,4.0.3 and up
MY GULFPORT FL,PRODUCTIVITY,NaN,0,49,50+,Free,0,Everyone,Productivity,18-May-18,17.4,4.1 and up
Holy Knight EN,FAMILY,4,26202,41,"1,000,000+",Free,0,Teen,Role Playing,5-May-18,1.1.700,2.3 and up
Ustream,VIDEO_PLAYERS,4,93638,7.3,"10,000,000+",Free,0,Mature 17+,Video Players & Editors,11-Jul-18,3.2.2,4.1 and up
dt Pro,FINANCE,4.8,4,4.5,"1,000+",Free,0,Everyone,Finance,16-May-17,3.1,2.2 and up
Public Service CU Mobile,FINANCE,2,314,35,"10,000+",Free,0,Everyone,Finance,14-Mar-17,6.5.32-prod,4.2 and up
European War 6: 1804,FAMILY,4.2,1330,96,"10,000+",Paid,$0.99,Teen,Strategy,18-Jul-18,1.1.0,4.4 and up
Lifeguard Beach Rescue ER Emergency Hospital Games,FAMILY,3.9,519,76,"100,000+",Free,0,Everyone,Simulation,7-Aug-18,12,4.1 and up
360-M Flight,TOOLS,3.9,84,24,"10,000+",Free,0,Everyone,Tools,14-Dec-17,2.18,4.0.3 and up
English Dictionary - Offline,BOOKS_AND_REFERENCE,4.4,341157,30,"10,000,000+",Free,0,Everyone 10+,Books & Reference,20-Mar-18,3.9.1,4.2 and up
C Programming,FAMILY,4.3,22248,1.8,"1,000,000+",Free,0,Everyone,Education,28-Jun-15,3,2.3 and up
Libre Scan (Diabetes:M addon),MEDICAL,2.4,102,1.2,"10,000+",Free,0,Everyone,Medical,9-Jul-17,1.2,4.4 and up
