title,audience_score,type,genre,runtime,year,mpaa_rating,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,rt_url,imdb_url,imdb_id
RKO 281,71,TV Movie,Documentary,83,1999,R,4517,92,Fresh,no,no,no,no,no,no,Upright,Benjamin Ross,Liev Schreiber,James Cromwell,Melanie Griffith,John Malkovich,Brenda Blethyn,http://www.rottentomatoes.com/m/rko_281_the_battle_over_citizen_kane/,http://www.imdb.com/title/tt0120801/,120801
The Black Stallion,75,Feature Film,Action & Adventure,118,1979,G,6599,86,Fresh,no,no,no,no,no,no,Upright,Carroll Ballard,Kelly Reno,Mickey Rooney,Teri Garr,Clarence Muse,Hoyt Axton,http://www.rottentomatoes.com/m/black_stallion/,http://www.imdb.com/title/tt0078872/,78872
Cadence,67,Feature Film,Mystery & Suspense,97,1990,PG-13,3702,42,Rotten,no,no,no,no,no,no,Upright,Martin Sheen,Charlie Sheen,Martin Sheen,F Murray Abraham,Laurence Fishburne,Michael Beach,http://www.rottentomatoes.com/m/cadence/,http://www.imdb.com/title/tt0101531/,101531
The Toolbox Murders,31,Feature Film,Drama,93,1978,R,1768,0,Rotten,no,no,no,no,no,no,Spilled,Dennis Donnelly,Cameron Mitchell,Pamelyn Ferdin,Wesley Eure,Nicolas Beauvy,Timothy Donnelly,http://www.rottentomatoes.com/m/1021681-toolbox_murders/,http://www.imdb.com/title/tt0078405/,78405
American Dreamz,33,Feature Film,Drama,107,2006,PG-13,20545,41,Rotten,no,no,no,no,no,no,Spilled,Paul Weitz,Dennis Quaid,Hugh Grant,Mandy Moore,Willem Dafoe,Chris Klein,http://www.rottentomatoes.com/m/american_dreamz/,http://www.imdb.com/title/tt0465142/,465142
Die Hard 2,72,Feature Film,Mystery & Suspense,124,1990,R,193198,66,Fresh,no,no,no,no,no,no,Upright,Renny Harlin,Bruce Willis,Bonnie Bedelia,Bill Sadler,William Atherton,Franco Nero,http://www.rottentomatoes.com/m/die_hard_2_1990/,http://www.imdb.com/title/tt0099423/,99423
8 Heads in a Duffel Bag,34,Feature Film,Comedy,95,1997,R,6977,11,Rotten,no,no,no,no,no,no,Spilled,Tom Schulman,Joe Pesci,Andy Comeau,Kristy Swanson,Todd Louiso,David Spade,http://www.rottentomatoes.com/m/8_heads_in_a_duffel_bag/,http://www.imdb.com/title/tt0118541/,118541
The Prestige,90,Feature Film,Drama,130,2006,PG-13,507162,76,Certified Fresh,no,no,no,no,no,no,Upright,Christopher Nolan,Hugh Jackman,Christian Bale,Michael Caine,Scarlett Johansson,David Bowie,http://www.rottentomatoes.com/m/prestige/,http://www.imdb.com/title/tt0482571/,482571
Sidewalks of New York,50,Feature Film,Drama,108,2001,R,5191,56,Rotten,no,no,no,no,no,no,Spilled,Edward Burns,Edward Burns,Rosario Dawson,Dennis Farina,Heather Graham,David Krumholtz,http://www.rottentomatoes.com/m/1110008-sidewalks_of_new_york/,http://www.imdb.com/title/tt0239986/,239986
American Splendor,84,Feature Film,Drama,101,2003,R,36058,94,Certified Fresh,no,no,no,no,no,no,Upright,Shari Springer Berman,Paul Giamatti,Hope Davis,Harvey Pekar,Shari Springer Berman,James Urbaniak,http://www.rottentomatoes.com/m/american_splendor/,http://www.imdb.com/title/tt0305206/,305206
The Watch,40,Feature Film,Other,102,2012,R,72136,17,Rotten,no,no,no,no,no,no,Spilled,Akiva Schaffer,Ben Stiller,Vince Vaughn,Jonah Hill,Richard Ayoade,Rosemarie DeWitt,http://www.rottentomatoes.com/m/the_watch_2012/,http://www.imdb.com/title/tt1298649/,1298649
A Touch of Class,47,Feature Film,Comedy,106,1973,PG,1541,90,Fresh,yes,no,no,yes,no,no,Spilled,Melvin Frank,George Segal,Glenda Jackson,Paul Sorvino,Hildegard Neil,Cec Linder,http://www.rottentomatoes.com/m/touch_of_class/,http://www.imdb.com/title/tt0070819/,70819
Wet Hot American Summer,78,Feature Film,Comedy,97,2001,R,19352,31,Rotten,no,no,no,no,no,no,Upright,David Wain,Janeane Garofalo,David Hyde Pierce,Michael Showalter,Marguerite Moreau,Paul Rudd,http://www.rottentomatoes.com/m/wet_hot_american_summer/,http://www.imdb.com/title/tt0243655/,243655
St. Trinian's,57,Feature Film,Comedy,97,2007,PG-13,13937,31,Rotten,no,no,yes,no,no,no,Spilled,Barnaby Thompson,Rupert Everett,Colin Firth,Jodie Whittaker,Lena Headey,Russell Brand,http://www.rottentomatoes.com/m/st_trinians/,http://www.imdb.com/title/tt0964587/,964587
Morning Glory,51,Feature Film,Comedy,107,2010,PG-13,43828,55,Rotten,no,no,no,yes,no,no,Spilled,Roger Michell,Harrison Ford,Rachel McAdams,Diane Keaton,Patrick Wilson,Jeff Goldblum,http://www.rottentomatoes.com/m/morning-glory-2010/,http://www.imdb.com/title/tt1126618/,1126618
Red Dawn,65,Feature Film,Action & Adventure,114,1984,PG-13,33414,56,Rotten,no,no,no,no,no,no,Upright,John Milius,Patrick Swayze,C. Thomas Howell,Ron O'Neal,William Smith,Powers Boothe,http://www.rottentomatoes.com/m/1017321-red_dawn/,http://www.imdb.com/title/tt0087985/,87985
What's Eating Gilbert Grape,85,Feature Film,Drama,118,1993,PG-13,122030,89,Certified Fresh,no,no,no,no,no,no,Upright,Lasse Hallstrom,Johnny Depp,Juliette Lewis,Mary Steenburgen,Leonardo DiCaprio,Darlene Cates,http://www.rottentomatoes.com/m/whats_eating_gilbert_grape/,http://www.imdb.com/title/tt0108550/,108550
Coming to America,80,Feature Film,Comedy,116,1988,R,85467,68,Fresh,no,no,no,no,no,no,Upright,John Landis,Eddie Murphy,Arsenio Hall,John Amos,James Earl Jones,Shari Headley,http://www.rottentomatoes.com/m/coming_to_america/,http://www.imdb.com/title/tt0094898/,94898
Bounce,33,Feature Film,Drama,106,2000,PG-13,14782,52,Rotten,no,no,no,yes,no,no,Spilled,Don Roos,Ben Affleck,Gwyneth Paltrow,Joe Morton,Natasha Henstridge,Tony Goldwyn,http://www.rottentomatoes.com/m/bounce/,http://www.imdb.com/title/tt0186894/,186894
2 Days in New York,44,Feature Film,Drama,96,2012,R,8470,64,Fresh,no,no,no,no,no,no,Spilled,Julie Delpy,Chris Rock,Julie Delpy,Albert Delpy,Alexia Landeau,Alex Nahon,http://www.rottentomatoes.com/m/2_days_in_new_york/,http://www.imdb.com/title/tt1602472/,1602472
Creepshow 2,46,Feature Film,Horror,92,1987,R,11853,30,Rotten,no,no,no,no,no,no,Spilled,Michael Gornick,Lois Chiles,George Kennedy,Dorothy Lamour,Tom Savini,Domenick John,http://www.rottentomatoes.com/m/creepshow_2/,http://www.imdb.com/title/tt0092796/,92796
Red,68,Feature Film,Mystery & Suspense,93,2008,R,7863,70,Fresh,no,no,no,no,no,no,Upright,Trygve Allister Diesen,Brian Cox,Noel Fisher,Tom Sizemore,Kyle Gallner,Shiloh Fernandez,http://www.rottentomatoes.com/m/10009421-red/,http://www.imdb.com/title/tt0972883/,972883
Rise of the Planet of the Apes,77,Feature Film,Drama,105,2011,PG-13,250885,82,Certified Fresh,no,no,no,no,no,no,Upright,Rupert Wyatt,James Franco,Freida Pinto,John Lithgow,Andy Serkis,Brian Cox,http://www.rottentomatoes.com/m/rise_of_the_planet_of_the_apes/,http://www.imdb.com/title/tt1318514/,1318514
Animal Factory,54,Feature Film,Mystery & Suspense,94,2000,R,9363,82,Fresh,no,no,no,no,no,no,Spilled,Steve Buscemi,Willem Dafoe,Edward Furlong,Seymour Cassel,Mickey Rourke,Steve Buscemi,http://www.rottentomatoes.com/m/animal_factory/,http://www.imdb.com/title/tt0204137/,204137
The Forsaken,44,Feature Film,Horror,90,2001,R,6402,8,Rotten,no,no,no,no,no,no,Spilled,J.S. Cardone,Kerr Smith,Brendan Fehr,Izabella Miko,Phina Oruche,Simon Rex,http://www.rottentomatoes.com/m/forsaken/,http://www.imdb.com/title/tt0245120/,245120
All the Boys Love Mandy Lane,34,Feature Film,Horror,90,2006,R,17909,39,Rotten,no,no,no,no,no,no,Spilled,Jonathan Levine,Amber Heard,Anson Mount,Michael Welch,Whitney Able,Edwin Hodge,http://www.rottentomatoes.com/m/mandy-lane/,http://www.imdb.com/title/tt0490076/,490076
Stolen,39,Feature Film,Mystery & Suspense,91,2009,R,3378,0,Rotten,no,no,no,no,no,no,Spilled,Anders Anderson,Jon Hamm,Josh Lucas,Jimmy Bennett,James Van Der Beek,Rhona Mitra,http://www.rottentomatoes.com/m/10012207-stolen/,http://www.imdb.com/title/tt1139282/,1139282
Creature,18,Feature Film,Mystery & Suspense,93,2011,R,1916,11,Rotten,no,no,no,no,no,no,Spilled,Fred Andrews,Grimley,Amanda Fuller,Serinda Swan,Sid Haig,Mehcad Brooks,http://www.rottentomatoes.com/m/creature_2011/,http://www.imdb.com/title/tt1686018/,1686018
Legionnaire,31,Feature Film,Action & Adventure,99,1998,R,14529,29,Rotten,no,no,no,no,no,no,Spilled,Peter MacDonald,Jean-Claude Van Damme,Adewale Akinnuoye-Agbaje,Steven Berkoff,Jim Carter,Nicholas Farrell,http://www.rottentomatoes.com/m/legionnaire/,http://www.imdb.com/title/tt0126388/,126388
Start the Revolution Without Me,72,Feature Film,Other,90,1970,PG,1697,80,Fresh,no,no,no,no,no,no,Upright,Bud Yorkin,Gene Wilder,Donald Sutherland,Hugh Griffith,Billie Whitelaw,Victor Spinetti,http://www.rottentomatoes.com/m/start_the_revolution_without_me/,http://www.imdb.com/title/tt0066402/,66402
Then She Found Me,44,Feature Film,Drama,100,2007,R,7194,50,Rotten,no,no,yes,yes,no,no,Spilled,Helen Hunt,Helen Hunt,Bette Midler,Colin Firth,Matthew Broderick,Ben Shenkman,http://www.rottentomatoes.com/m/then_she_found_me/,http://www.imdb.com/title/tt0455805/,455805
Eat Pray Love,44,Feature Film,Drama,133,2010,PG-13,43017,36,Rotten,no,no,no,yes,no,no,Spilled,Ryan Murphy,Julia Roberts,James Franco,Javier Bardem,Richard Jenkins,Billy Crudup,http://www.rottentomatoes.com/m/eat_pray_love/,http://www.imdb.com/title/tt0879870/,879870
Fred Claus,47,Feature Film,Comedy,116,2007,PG,22886,21,Rotten,no,no,no,no,no,no,Spilled,David Dobkin,Vince Vaughn,Paul Giamatti,John Michael Higgins,Miranda Richardson,Rachel Weisz,http://www.rottentomatoes.com/m/1175076-fred_claus/,http://www.imdb.com/title/tt0486583/,486583
Next of Kin,53,Feature Film,Drama,108,1989,R,5167,50,Rotten,no,no,no,yes,no,no,Spilled,John Irvin,Patrick Swayze,Liam Neeson,Adam Baldwin,Helen Hunt,Andreas Katsulas,http://www.rottentomatoes.com/m/1014946-next_of_kin/,http://www.imdb.com/title/tt0097967/,97967
Killshot,32,Feature Film,Drama,95,2008,R,16224,43,Rotten,no,no,no,no,no,no,Spilled,John Madden,Diane Lane,Mickey Rourke,Joseph Gordon-Levitt,Thomas Jane,Rosario Dawson,http://www.rottentomatoes.com/m/killshot/,http://www.imdb.com/title/tt0443559/,443559
Ryan's Daughter,75,Feature Film,Drama,206,1970,R,4842,50,Rotten,no,no,no,no,yes,no,Upright,David Lean,Robert Mitchum,Trevor Howard,Sarah Miles,Christopher Jones,John Mills,http://www.rottentomatoes.com/m/ryans_daughter/,http://www.imdb.com/title/tt0066319/,66319
The Revenant,52,Feature Film,Action & Adventure,117,2009,R,6839,56,Rotten,no,no,no,no,no,no,Spilled,D. Kerry Prior,Chris Wylde,David Anders,Jace King,Louise Griffiths,NA,http://www.rottentomatoes.com/m/the-revenant/,http://www.imdb.com/title/tt1336006/,1336006
Fallen,73,Feature Film,Drama,124,1998,R,44122,41,Rotten,no,no,yes,no,no,no,Upright,Gregory Hoblit,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,James Gandolfini,http://www.rottentomatoes.com/m/1080990-fallen/,http://www.imdb.com/title/tt0119099/,119099
The Gun in Betty Lou's Handbag,26,Feature Film,Comedy,89,1992,PG-13,1205,8,Rotten,no,no,no,no,no,no,Spilled,Allan Moyle,Penelope Ann Miller,Eric Thal,Alfre Woodard,Julianne Moore,Cathy Moriarty,http://www.rottentomatoes.com/m/gun_in_betty_lous_handbag/,http://www.imdb.com/title/tt0104376/,104376
Dolphin Tale,80,Feature Film,Drama,113,2011,PG,11873,82,Certified Fresh,no,no,no,no,no,no,Upright,Charles Martin Smith,Harry Connick Jr.,Ashley Judd,Nathan Gamble,Kris Kristofferson,Cozi Zuehlsdorff,http://www.rottentomatoes.com/m/dolphin_tale/,http://www.imdb.com/title/tt1564349/,1564349
"After Dark, My Sweet",55,Feature Film,Mystery & Suspense,114,1990,R,1953,82,Fresh,no,no,no,no,no,no,Spilled,James Foley,Jason Patric,Rachel Ward,Bruce Dern,George Dickerson,James Anthony Cotton,http://www.rottentomatoes.com/m/after_dark_my_sweet/,http://www.imdb.com/title/tt0098994/,98994
Cube 2 - Hypercube,40,Feature Film,Other,95,2002,R,37248,50,Rotten,no,no,no,no,no,no,Spilled,Andrzej Sekula,Kari Matchett,Geraint Wyn Davies,Grace Lynn Kung,Matthew Ferguson,Neil Crone,http://www.rottentomatoes.com/m/cube_2_hypercube/,http://www.imdb.com/title/tt0285492/,285492
The Laughing Policeman,48,Feature Film,Mystery & Suspense,112,1973,R,1263,80,Fresh,no,no,no,no,no,no,Spilled,Stuart Rosenberg,Walter Matthau,Bruce Dern,Louis Gossett Jr,Albert Paulsen,Anthony Zerbe,http://www.rottentomatoes.com/m/laughing_policeman/,http://www.imdb.com/title/tt0070292/,70292
Running on Empty,71,Feature Film,Other,116,1988,PG-13,7893,85,Fresh,no,no,no,no,no,no,Upright,Sidney Lumet,Christine Lahti,River Phoenix,Judd Hirsch,Jonas Abry,Martha Plimpton,http://www.rottentomatoes.com/m/running_on_empty/,http://www.imdb.com/title/tt0096018/,96018
Sister Act 2: Back in the Habit,63,Feature Film,Comedy,107,1993,PG,26417,7,Rotten,no,no,no,no,no,no,Upright,Bill Duke,Whoopi Goldberg,Kathy Najimy,Barnard Hughes,Mary Wickes,James Coburn,http://www.rottentomatoes.com/m/sister_act_2_back_in_the_habit/,http://www.imdb.com/title/tt0108147/,108147
September 11,63,Feature Film,Drama,134,2002,Unrated,4348,78,Certified Fresh,no,no,yes,no,no,no,Upright,Amos Gitai,Sean Penn,Dzana Pinjo,Emmanuelle Laborit,Keren Mor,Lionel Zizreel Guire,http://www.rottentomatoes.com/m/september_11/,http://www.imdb.com/title/tt0328802/,328802
Arthur,68,Feature Film,Comedy,97,1981,PG,17833,90,Fresh,no,no,no,yes,no,no,Upright,Steve Gordon,Dudley Moore,Liza Minnelli,John Gielgud,Geraldine Fitzgerald,Jill Eikenberry,http://www.rottentomatoes.com/m/1001240-arthur/,http://www.imdb.com/title/tt0082031/,82031
Mrs Brown,75,Feature Film,Drama,105,1997,PG,9105,94,Certified Fresh,no,no,no,no,no,no,Upright,John Madden,Judi Dench,Billy Connolly,Geoffrey Palmer,Antony Sher,David Westhead,http://www.rottentomatoes.com/m/mrs_brown/,http://www.imdb.com/title/tt0119280/,119280
The Flintstones,33,Feature Film,Comedy,91,1994,PG,48176,22,Rotten,no,no,no,no,no,no,Spilled,Brian Levant,John Goodman,Elizabeth Perkins,Rick Moranis,Rosie O'Donnell,Kyle MacLachlan,http://www.rottentomatoes.com/m/1051663-flintstones/,http://www.imdb.com/title/tt0109813/,109813
Eight Below,78,Feature Film,Drama,120,2006,PG,34851,72,Certified Fresh,no,no,no,no,no,no,Upright,Frank Marshall,Paul Walker,Bruce Greenwood,Moon Bloodgood,Jason Biggs,Gerard Plunkett,http://www.rottentomatoes.com/m/eight_below/,http://www.imdb.com/title/tt0397313/,397313
The Rainmaker,72,Feature Film,Mystery & Suspense,135,1997,PG-13,33547,82,Certified Fresh,no,no,yes,no,yes,no,Upright,Francis Ford Coppola,Matt Damon,Claire Danes,Jon Voight,Mary Kay Place,Mickey Rourke,http://www.rottentomatoes.com/m/1080867-rainmaker/,http://www.imdb.com/title/tt0119978/,119978
Soul Men,59,Feature Film,Other,100,2008,R,6246,44,Rotten,no,no,no,no,no,no,Spilled,Malcolm D. Lee,Samuel L. Jackson,Bernie Mac,Sharon Leal,Adam Herschman,Sean Hayes,http://www.rottentomatoes.com/m/10009635-soul_men/,http://www.imdb.com/title/tt1111948/,1111948
Stander,74,Feature Film,Drama,111,2003,R,6134,73,Fresh,no,no,no,no,no,no,Upright,Bronwen Hughes,Thomas Jane,Dexter Fletcher,David O'Hara,Deborah Kara Unger,Ashley Taylor,http://www.rottentomatoes.com/m/stander/,http://www.imdb.com/title/tt0326208/,326208
Jason Lives: Friday the 13th Part VI,57,Feature Film,Horror,86,1986,R,18133,54,Rotten,no,no,no,no,no,no,Spilled,Tom McLoughlin,Jennifer C. Cooke,David Kagen,Rene Jones,Darcy de Moss,Kerry Noonan,http://www.rottentomatoes.com/m/friday_the_13th_part_6_jason_lives/,http://www.imdb.com/title/tt0091080/,91080
The Condemned,61,Feature Film,Mystery & Suspense,113,2007,R,37591,15,Rotten,no,no,no,no,no,no,Upright,Scott Wiper,Steve Austin,Robert Mammone,Victoria Mussett,Manu Bennett,Madeleine West,http://www.rottentomatoes.com/m/condemned/,http://www.imdb.com/title/tt0443473/,443473
Fly Away Home,64,Feature Film,Drama,107,1996,PG,15642,85,Fresh,no,no,no,no,no,no,Upright,Carroll Ballard,Jeff Daniels,Anna Paquin,Dana Delany,Terry Kinney,Holter Graham,http://www.rottentomatoes.com/m/fly_away_home/,http://www.imdb.com/title/tt0116329/,116329
The Kentucky Fried Movie,65,Feature Film,Comedy,83,1977,R,11790,80,Fresh,no,no,no,no,no,no,Upright,John Landis,Donald Sutherland,George Lazenby,Henry Gibson,Bill Bixby,Tony Dow,http://www.rottentomatoes.com/m/kentucky_fried_movie/,http://www.imdb.com/title/tt0076257/,76257
Feed,46,Feature Film,Drama,101,2005,Unrated,4014,40,Rotten,no,no,no,no,no,no,Spilled,Brett Leonard,Alex O'Lachlan,Patrick Thompson,Gabby Millgate,Jack Thompson,Matthew Le Nevez,http://www.rottentomatoes.com/m/10006752-feed/,http://www.imdb.com/title/tt0445965/,445965
The Jerk,82,Feature Film,Comedy,94,1979,R,33096,84,Fresh,no,no,no,no,no,no,Upright,Carl Reiner,Steve Martin,Bernadette Peters,Catlin Adams,Mabel King,Richard Ward,http://www.rottentomatoes.com/m/jerk/,http://www.imdb.com/title/tt0079367/,79367
The Young Americans,38,Feature Film,Drama,103,1993,R,1759,40,Rotten,no,no,no,no,no,no,Spilled,Danny Cannon,Harvey Keitel,Viggo Mortensen,Iain Glen,Geoffrey McGivern,John Wood,http://www.rottentomatoes.com/m/1049512-young_americans/,http://www.imdb.com/title/tt0108633/,108633
New Year's Eve,45,Feature Film,Comedy,118,2011,PG-13,44572,7,Rotten,no,no,yes,yes,no,no,Spilled,Garry Marshall,Halle Berry,Jessica Biel,Jon Bon Jovi,Abigail Breslin,Robert De Niro,http://www.rottentomatoes.com/m/new_years_eve_2011/,http://www.imdb.com/title/tt1598822/,1598822
Citizen X,85,TV Movie,Drama,105,1995,R,8496,86,Fresh,no,no,no,no,no,no,Upright,Chris Gerolmo,Joss Ackland,Andras Balint,Geza Balkay,Ion Caramitru,Jeffrey DeMunn,http://www.rottentomatoes.com/m/citizen_x/,http://www.imdb.com/title/tt0112681/,112681
Intolerable Cruelty,44,Feature Film,Comedy,100,2003,PG-13,60878,75,Certified Fresh,no,no,yes,no,yes,no,Spilled,Joel Coen,George Clooney,Catherine Zeta-Jones,Geoffrey Rush,Cedric the Entertainer,Edward Herrmann,http://www.rottentomatoes.com/m/intolerable_cruelty/,http://www.imdb.com/title/tt0138524/,138524
The Sheltering Sky,76,Feature Film,Drama,138,1990,R,6933,50,Rotten,no,no,no,no,yes,no,Upright,Bernardo Bertolucci,John Malkovich,Debra Winger,Campbell Scott,Jill Bennett II,Timothy Spall,http://www.rottentomatoes.com/m/sheltering_sky/,http://www.imdb.com/title/tt0100594/,100594
Foxfire,66,Feature Film,Drama,102,1996,R,5692,30,Rotten,no,no,no,no,no,no,Upright,Annette Haywood-Carter,Hedy Burress,Angelina Jolie,Jenny Shimizu,Sarah Rosenberg,Peter Facinelli,http://www.rottentomatoes.com/m/1073285-foxfire/,http://www.imdb.com/title/tt0116353/,116353
The Collection,51,Feature Film,Action & Adventure,82,2012,R,22445,37,Rotten,no,no,no,no,no,no,Spilled,Marcus Dunstan,Emma Fitzpatrick,Josh Stewart,Christopher McDonald,Lee Tergesen,Navi Rawat,http://www.rottentomatoes.com/m/the_collection_2012/,http://www.imdb.com/title/tt1748227/,1748227
Hope Springs,30,Feature Film,Drama,92,2003,PG-13,4413,25,Rotten,no,no,yes,no,no,no,Spilled,Mark Herman,Colin Firth,Heather Graham,Minnie Driver,Mary Steenburgen,Oliver Platt,http://www.rottentomatoes.com/m/hope_springs/,http://www.imdb.com/title/tt0314431/,314431
Body Double,61,Feature Film,Mystery & Suspense,114,1984,R,15049,79,Fresh,no,no,no,no,no,no,Upright,Brian DePalma,Craig Wasson,Ty Randolph,Gregg Henry,Melanie Griffith,Phil Redrow,http://www.rottentomatoes.com/m/body_double/,http://www.imdb.com/title/tt0086984/,86984
The Pirates of Penzance,75,Feature Film,Action & Adventure,112,1983,G,2072,80,Fresh,no,no,no,no,no,no,Upright,Joshua White,Kevin Kline,Angela Lansbury,Linda Ronstadt,George Rose,Rex Smith,http://www.rottentomatoes.com/m/1016365-pirates_of_penzance/,http://www.imdb.com/title/tt0086112/,86112
Renaissance Man,53,Feature Film,Comedy,128,1994,PG-13,11485,17,Rotten,no,no,yes,no,no,no,Spilled,Penny Marshall,Danny DeVito,Gregory Hines,James Remar,Cliff Robertson,Lillo Brancato Jr.,http://www.rottentomatoes.com/m/renaissance_man/,http://www.imdb.com/title/tt0110971/,110971
Millions,75,Feature Film,Drama,98,2004,PG,18767,87,Certified Fresh,no,no,no,no,yes,no,Upright,Danny Boyle,Alex Etel,Lewis Owen McGibbon,James Nesbitt,Daisy Donovan,Christopher Fulford,http://www.rottentomatoes.com/m/millions/,http://www.imdb.com/title/tt0366777/,366777
The Sandlot,85,Feature Film,Drama,101,1993,PG,40623,63,Fresh,no,no,no,no,no,no,Upright,David M. Evans,Tom Guiry,Mike Vitar,Patrick Renna,Chauncey Leopardi,Marty York,http://www.rottentomatoes.com/m/sandlot/,http://www.imdb.com/title/tt0108037/,108037
Mirror Mirror,45,Feature Film,Other,106,2012,PG,50288,49,Rotten,no,no,no,yes,no,no,Spilled,Tarsem Singh,Julia Roberts,Lily Collins,Armie Hammer,Nathan Lane,Jordan Prentice,http://www.rottentomatoes.com/m/mirror_mirror_2012/,http://www.imdb.com/title/tt1667353/,1667353
Girl in Progress,55,Feature Film,Drama,93,2012,PG-13,3830,29,Rotten,no,no,no,no,no,no,Spilled,Patricia Riggen,Eva Mendes,Matthew Modine,Cierra Ramirez,Patricia Arquette,Eugenio Derbez,http://www.rottentomatoes.com/m/girl_in_progress_2012/,http://www.imdb.com/title/tt1817676/,1817676
Mr. & Mrs. Smith,61,Feature Film,Action & Adventure,120,2005,PG-13,222124,59,Rotten,no,no,no,no,no,no,Upright,Doug Liman,Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody,Kerry Washington,http://www.rottentomatoes.com/m/mr_and_mrs_smith/,http://www.imdb.com/title/tt0356910/,356910
Under the Tuscan Sun,76,Feature Film,Drama,113,2003,PG-13,26727,61,Fresh,no,no,no,no,no,no,Upright,Audrey Wells,Diane Lane,Sandra Oh,Lindsay Duncan,Raoul Bova,Vincent Riotta,http://www.rottentomatoes.com/m/under_the_tuscan_sun/,http://www.imdb.com/title/tt0328589/,328589
The Star Wars Holiday Special,30,TV Movie,Action & Adventure,97,1978,Unrated,6076,40,Rotten,no,no,no,no,no,no,Spilled,Steve Binder,Mark Hamill,Harrison Ford,Carrie Fisher,Anthony Daniels,Peter Mayhew,http://www.rottentomatoes.com/m/star_wars_holiday_special/,http://www.imdb.com/title/tt0193524/,193524
Kissing a Fool,40,Feature Film,Drama,93,1998,R,3989,27,Rotten,no,no,no,no,no,no,Spilled,Doug Ellin,David Schwimmer,Jason Lee,Mili Avital,Bonnie Hunt,Vanessa Angel,http://www.rottentomatoes.com/m/kissing_a_fool/,http://www.imdb.com/title/tt0120723/,120723
Upside Down,41,Feature Film,Drama,100,2012,PG-13,33628,28,Rotten,no,no,no,no,no,no,Spilled,Juan Diego Solanas,Jim Sturgess,Kirsten Dunst,Timothy Spall,NA,NA,http://www.rottentomatoes.com/m/upside_down_2012/,http://www.imdb.com/title/tt1374992/,1374992
Pretty in Pink,79,Feature Film,Drama,96,1986,PG-13,35669,81,Fresh,no,no,no,no,no,no,Upright,Howard Deutch,Molly Ringwald,Harry Dean Stanton,Jon Cryer,Andrew McCarthy,Annie Potts,http://www.rottentomatoes.com/m/pretty_in_pink/,http://www.imdb.com/title/tt0091790/,91790
Batman Begins,90,Feature Film,Action & Adventure,140,2005,PG-13,613940,85,Certified Fresh,no,no,no,no,no,no,Upright,Christopher Nolan,Christian Bale,Liam Neeson,Katie Holmes,Gary Oldman,Cillian Murphy,http://www.rottentomatoes.com/m/batman_begins/,http://www.imdb.com/title/tt0372784/,372784
Johnny Suede,40,Feature Film,Other,97,1991,R,2395,40,Rotten,no,no,no,no,no,no,Spilled,Tom DiCillo,Brad Pitt,Calvin Levels,Alison Moir,Catherine Keener,Tina Louise,http://www.rottentomatoes.com/m/johnny_suede/,http://www.imdb.com/title/tt0104567/,104567
The Bear,76,Feature Film,Drama,96,1988,PG,10142,92,Fresh,no,no,no,no,no,no,Upright,Jean-Jacques Annaud,Douce the Bear,Bart the Bear,Tcheky Karyo,Jack Wallace,Doc the Bear,http://www.rottentomatoes.com/m/the-bear/,http://www.imdb.com/title/tt0095800/,95800
Edison,41,Feature Film,Drama,99,2005,R,11536,0,Rotten,no,no,yes,no,no,no,Spilled,David J. Burke,Kevin Spacey,Morgan Freeman,Justin Timberlake,LL Cool J,Dylan McDermott,http://www.rottentomatoes.com/m/edison_force/,http://www.imdb.com/title/tt0389957/,389957
Maverick,67,Feature Film,Other,127,1994,PG-13,63154,74,Fresh,no,no,no,yes,no,no,Upright,Richard Donner,Mel Gibson,Jodie Foster,James Garner,Graham Greene (II),James Coburn,http://www.rottentomatoes.com/m/maverick/,http://www.imdb.com/title/tt0110478/,110478
Knight Moves,37,Feature Film,Drama,108,1992,R,4880,20,Rotten,no,no,no,no,no,no,Spilled,Carl Schenkel,Christopher Lambert,Diane Lane,Tom Skerritt,Daniel Baldwin,Charles Bailey-Gates,http://www.rottentomatoes.com/m/knight_moves/,http://www.imdb.com/title/tt0104627/,104627
P.S.,39,Feature Film,Drama,97,2004,R,4543,55,Rotten,no,no,no,no,no,no,Spilled,Dylan Kidd,Laura Linney,Topher Grace,Gabriel Byrne,Marcia Gay Harden,Paul Rudd,http://www.rottentomatoes.com/m/ps/,http://www.imdb.com/title/tt0380609/,380609
New in Town,40,Feature Film,Comedy,97,2009,PG,13504,29,Rotten,no,no,no,no,no,no,Spilled,Jonas Elmer,Renee Zellweger,Harry Connick Jr.,J.K. Simmons,Frances Conroy,Siobhan Fallon-Hogan,http://www.rottentomatoes.com/m/new_in_town/,http://www.imdb.com/title/tt1095174/,1095174
Vampire's Kiss,48,Feature Film,Horror,103,1988,R,6787,62,Fresh,no,no,yes,no,no,no,Spilled,Robert Bierman,Nicolas Cage,Maria Conchita Alonso,Jennifer Beals,Elizabeth Ashley,Kasi Lemmons,http://www.rottentomatoes.com/m/vampires_kiss/,http://www.imdb.com/title/tt0098577/,98577
